id_ulasan,nama_pengguna,isi_ulasan,bintang,tanggal_ulasan,jumlah_like,sentimen,teks_bersih
b51eec2c-49b8-48ca-b5a8-b19e5d37cba4,Halak Hita,dana gak jejas,1,2026-02-25 22:19:29,0,Negatif,dana jejas
664ca76d-6ae5-40e7-9fe0-208d3d94eea9,Iim Imriti,makin sini eror mulu nih aplikasi nya parah,1,2026-02-25 22:19:20,0,Negatif,eror mulu nih aplikasi parah
f08a5d7c-105a-4680-9bbb-7668e03bbb0b,P.fian Saudik,bagus,5,2026-02-25 22:19:12,0,Positif,bagus
7b9055cb-f343-4f38-942d-37505b4da439,Watylist,"Real mempermudah hidup,terimakasih dana",5,2026-02-25 22:16:52,0,Positif,real mudah hidup terimakasih dana
4844e18c-df81-42c1-b9a4-57c7a6d007ea,Rahmat,sudah saya coba Saranya beberapa kali tetep saja susah masuk. kirim tangkapan layar gimana sedangkan masuk aja susah. bisa masuk kalo intal ulang. seterusnya kaya gitu lagi,5,2026-02-25 22:14:32,0,Positif,coba sara tetep susah kirim tangkap layar susah intal ulang kaya gitu
13da2095-436e-4ea1-8e67-9925b6809cf0,Dimas Catur,sangat praktis,5,2026-02-25 22:13:21,0,Positif,praktis
35037594-89b6-48bc-9534-929802fbe006,Atep Yan sopian,tolong limit smartpay nya di aktip kan kembali,5,2026-02-25 22:07:47,0,Positif,tolong limit smartpay aktip
1dcd6f2a-ced7-4ee2-8aab-7b4d10c1b606,Fahmi,nice,5,2026-02-25 22:07:42,0,Positif,nice
c4d90479-4542-407a-8f61-828788d74627,MSyaiful anam,sangat membantu,4,2026-02-25 22:05:45,0,Positif,bantu
ce67d021-b545-41f9-b2e7-7d261f4f1ba6,Deni,sa ga bisa instal,5,2026-02-25 22:05:23,0,Positif,sa instal
db193332-6677-4e24-9e09-148244e170d7,Jawara Udien,sngat membantu,5,2026-02-25 22:04:30,0,Positif,sngat bantu
eae12b5a-7f36-4ed8-85ef-7bbafca6a090,Ade Seno,oke,5,2026-02-25 22:04:05,0,Positif,oke
d4a50c65-c049-4fab-9ef2-7c4ffc69620e,bening sf,habis update malah jadi TOLOL aplikasinya,1,2026-02-25 22:02:52,0,Negatif,habis update tolol aplikasi
8d3bf89a-76ce-4abb-a3b3-68a673b6016a,Abu Hanifah,bagus.....,4,2026-02-25 22:01:59,0,Positif,bagus
17ed6775-64c4-418b-aec1-6900dafc0817,Wisnu Pandi,ok,5,2026-02-25 22:01:18,0,Positif,ok
a920ba0a-3b8b-4ee4-aede-9de999d9b5f5,Roni 667,"susah dbuka .dhapus, inatal bisa lagi",1,2026-02-25 21:57:36,0,Negatif,susah dbuka dhapus inatal
d4183370-28eb-4453-8023-67cc4c7b3045,Ujang Abdurahman,bagus dan epektif,5,2026-02-25 21:57:34,0,Positif,bagus epektif
34447f2d-86d8-4d70-9778-111d3d10a7f5,Arif 356,josd,5,2026-02-25 21:53:32,0,Positif,josd
690cba25-04ee-497c-8dd0-abe05aae168e,Dilar Marlino,"heran sama apk dana, makin kesini bukan nya bagus pelayanan nya, makin buruk, saya bayar dana instan tempo 3 bulan, baru satu bulan saya lunasin smua nya, dan saya tidak pernah nunggak, silah kan cek riwayat saya, tapi sekarang saya mau cairin lagi tidak bisa, saya pakai dana sudah berapa tahun, tiap topup transper kena potongan, kalau di kumplin bunga nya dana ciclan dana instan, udah brp juta, lebih saya apus tidak mau pakai lagi",1,2026-02-25 21:53:27,1,Negatif,heran apk dana kesini bagus layan buruk bayar dana instan tempo lunasin smua nunggak silah cek riwayat cairin pakai dana tahun topup transper potong kumplin bunga dana ciclan dana instan brp juta apus pakai
7f176ddb-42f8-4242-aa3a-033db55f923d,Cah ndeso,mantap,5,2026-02-25 21:52:39,0,Positif,mantap
681df266-45ae-4733-8d79-f080d38f145c,Riyan Sad,debesssss pokonya,5,2026-02-25 21:52:22,0,Positif,debesssss poko
6a4dec25-6e83-4ac1-a819-0c2300a2d564,Uus Suheri,playeter belum tersedia,5,2026-02-25 21:52:14,0,Positif,playeter sedia
4a40d90d-d97e-47a8-950e-c2978c63696a,Agung F,masa iya saya gak bisa login ke akun saya sendiri,1,2026-02-25 21:49:56,0,Negatif,iya login akun
82f2de40-ff2a-4d6a-b619-de9100192d1d,Anyan 3393,sejauh ini lancar,5,2026-02-25 21:47:44,0,Positif,lancar
e2db4478-d7f4-4413-8394-1371e8bcdf16,Ariesti Pujiastuti,bagus banget,5,2026-02-25 21:46:38,0,Positif,bagus
3edcd883-20b3-4577-bc42-f59b50b135dd,Muhammad ramly1987 Ramly,keren,5,2026-02-25 21:46:17,0,Positif,keren
b0ad1c57-68e5-4da6-95a4-cd08e04b8044,lastri nurhayati,good,5,2026-02-25 21:44:57,0,Positif,good
53cccf62-1d70-4a97-be8c-de14ab797e9b,Angie Purnamasari,"alhamdulillaah,apk bikin transaksi mini sat set,keep it up !!",5,2026-02-25 21:43:56,0,Positif,alhamdulillaah apk bikin transaksi mini sat set keep it up
eccb14d2-6872-4e65-a4f7-b212d11b35e2,HERRYG17,mantap,5,2026-02-25 21:43:39,0,Positif,mantap
1040520b-b9ab-4c81-be27-8684f98761f3,Oky Dewantoro,sangat membantu apa lagi yg GK punya ATM....,5,2026-02-25 21:42:18,0,Positif,bantu atm
ce22d03c-a8b7-480a-a0cc-1a048cab15c4,Indra Ali selian,sangat bagus,5,2026-02-25 21:40:55,0,Positif,bagus
45fe6d67-7824-4084-b719-89e042d52e0d,Tarjilah Tarzhielah,cukup memuaskan,5,2026-02-25 21:40:54,0,Positif,muas
d82843b3-2a56-4eda-a4b2-f01d2d8741f5,Hesti Monica,"tidak bisa transfer uang padahal sudah di upgrade, gmna caranya",1,2026-02-25 21:40:37,0,Negatif,transfer uang upgrade gmna
bcdbda1c-b01c-4ea1-9383-4934202e1d6e,Kinoy 10,"muak banget ama ni aplikasi,nuduh transaksi judol. bahkan ngisi saldo dana aja jarang gimana mau lakuin judol",1,2026-02-25 21:39:28,0,Negatif,muak ama ni aplikasi nuduh transaksi judol ngisi saldo dana jarang lakuin judol
d4f4e2cb-a39f-411a-955a-8a7d3c01659b,Febri Setiawan,stop pake DANA uang jadi Hangus.. alasan yg tidak masuk akal. uang pribadi kita terserah dong mau buat bayar apa.,1,2026-02-25 21:38:56,0,Negatif,stop pake dana uang hangus alas akal uang pribadi serah bayar
7a883931-ff2e-4575-ad12-fe3afd5c520c,Sella,mantap,5,2026-02-25 21:37:55,0,Positif,mantap
460974ee-0a6a-4e98-9733-b15d5538b2d4,Nindy Amey,mantap,5,2026-02-25 21:37:36,0,Positif,mantap
286c48e0-fd04-4b6a-9165-f81ee4650da7,Rialdi Pangala,tolong di perbaiki tidak bisa login,5,2026-02-25 21:37:31,0,Positif,tolong baik login
c95e2ae4-353b-4e29-9355-93b172388ef1,Ashad Askalani,apk ini memang sangat bagus untuk di gunakan saya senang sekali bisa kenali dengan apk dana,5,2026-02-25 21:33:57,0,Positif,apk bagus senang kenal apk dana
c895ff45-a4a1-48e1-9eeb-4a2e9147f8c5,Yanto Anyer,sangat membantu. saya,5,2026-02-25 21:32:10,0,Positif,bantu
156e3f3c-f611-43df-bfa5-9e59eee2db81,Dony Dwi,"apk gajelas,udah terkirim tapi tidak masuk,tiap minta bantuan selalu tidak membantu",1,2026-02-25 21:31:57,0,Negatif,apk gajelas kirim bantu bantu
ee38f818-af18-4a24-b967-04cda2bf9f4b,Enda,apk yg sangat membantu n keren.. ku kasih 5 bintang untuk sejauh ini aku menggunakan apk DANA aman n membantu sekali,5,2026-02-25 21:31:07,0,Positif,apk bantu keren ku kasih bintang apk dana aman bantu
4f64af44-92f1-4512-b690-bf8ee51511c9,Comet,hama,1,2026-02-25 21:30:54,0,Negatif,hama
c938700b-e39e-4cad-a1af-3acdd22aeaa5,Haji Paryono,mudah dalam tf ke mana aja mksh,5,2026-02-25 21:30:16,0,Positif,mudah tf mksh
b291d91a-2107-4252-87b4-1d3b9fa01a87,Alfila Alfila,knp dana jadi lelet,2,2026-02-25 21:29:39,0,Negatif,dana lelet
b358c07e-4ccb-41e5-8601-88de38238248,Pitun Sukses,"Kepada pihak DANA yg terhormat. Tolong respon email saya mengenai penggantian nomor akun dana saya dikarnakan nomor akun saya yg lama telah hilang kartu dan hp nya dan saya tidak bisa login ke HP lain karna dimintai kode otp... Tolong bantuan nya,Terima kasih 🙏🙏🙏",5,2026-02-25 21:29:37,0,Positif,dana hormat tolong respon email ganti nomor akun dana dikarnakan nomor akun hilang kartu hp login hp kode otp tolong bantu terima kasih
47999865-aac0-44df-92ce-4bd72e9d315e,Kosasih Abdulah,masa di perbaharui tambah parah ga bisa bayar qris tambah jelek,1,2026-02-25 21:29:25,0,Negatif,baharu parah bayar qris jelek
f64b2d1e-22e0-4525-9d81-eae8f12f30ab,Heri Purwanto,dana udah busuk aku kecewa masuk aplikasi gaa bisa,1,2026-02-25 21:27:21,0,Negatif,dana busuk kecewa aplikasi gaa
f93e3451-909f-47c4-8070-99d778205707,Indra Okke,bagus,5,2026-02-25 21:27:15,0,Positif,bagus
d02f4640-48d7-4dfe-9722-286e236a7bf2,Purnomo,memang dana yg terbaik😘😘,5,2026-02-25 21:27:06,0,Positif,dana baik
3bebdcb5-aaef-406a-b3a5-128086bf7b1e,Dede yusuf,apk sering error jelek,1,2026-02-25 21:24:45,0,Negatif,apk error jelek
d5971b4d-7136-488e-aefc-2e13d5bdaf4a,Susi Ana,sangat mudah dan tercepat dalam transaksi,5,2026-02-25 21:23:34,0,Positif,mudah cepat transaksi
295f3a21-ff5d-46c5-aac5-1d69530557e4,Af dzal,mantap,5,2026-02-25 21:22:27,0,Positif,mantap
04830a1e-404b-4988-adf9-84722bd64476,Yuni Unai,sangat membantu 🥰,5,2026-02-25 21:22:00,0,Positif,bantu
8995a551-e420-4429-94ca-ac6e7a76d4d8,Syarief Bugies,Aplikasi DANA sangat memudah kan kita bertransaksi.. saya suka Aplikasi ini,5,2026-02-25 21:21:15,0,Positif,aplikasi dana mudah transaksi suka aplikasi
753835d4-f05e-4a35-bceb-aab2e01ccdf5,Dapot Sinaga,mantap,5,2026-02-25 21:20:02,0,Positif,mantap
0496feb9-a0f4-41bc-9884-2afd3fe92d65,Oktavia Viani,dana tolong aplikasinya semakin di perbaiki,5,2026-02-25 21:18:01,0,Positif,dana tolong aplikasi baik
a08b4502-e536-46b6-bcab-bdffdfe35451,rka rstian,sipppp pokoknyaaa terbaikkk,5,2026-02-25 21:17:50,0,Positif,sipppp pokoknyaaa terbaikkk
6079421f-a15c-446e-b606-0025ca4804de,Amirulloh gaming,aplikasi dana sangat rekomendasi mudah untuk di operasi kan,5,2026-02-25 21:17:34,0,Positif,aplikasi dana rekomendasi mudah operasi
bf2d5c9a-6d8a-4da8-8341-0c2ef5c6bd21,Nico Bebeb Ella,puas,5,2026-02-25 21:17:29,0,Positif,puas
7dbc2fed-b02a-45cb-bb8d-35b6ff436c1b,Muhammad Farza,"haran liat nya, saldo nya ada mau top up alasannya eror ntah apa yang eror, tolong di perbaiki, dan saat buka link resmi dari dana nya alasannya ngga bisa di jangkau, jaringan oke, ntah lah bingung liat nya, jadi duit aku di dalam sini ngga guna jadinya",1,2026-02-25 21:17:03,0,Negatif,haran liat saldo top up alas eror ntah eror tolong baik buka link resmi dana alas jangkau jaring oke ntah bingung liat duit
9fefd397-d9ee-4df5-bf40-739377f6a8e8,Padil123 Padil123,apk aneh tiba tiba akun gw di beliin tanpa ada peringatan dan saya tidak melakukan pencucian uang ilegal aneh apk ya,1,2026-02-25 21:14:05,0,Negatif,apk aneh akun beliin ingat cuci uang ilegal aneh apk
7bc2b791-8624-4418-957e-41121a3331ef,Yono Wahyuno,keren,4,2026-02-25 21:13:26,0,Positif,keren
eed2328d-988c-4c1f-baf4-8eafa90e29a2,Hatijah Ijah,mantap deh,5,2026-02-25 21:12:47,0,Positif,mantap deh
9c674207-01be-404c-bb6b-9c27d96de4d5,Moh Fakhrudin,"Pengaduan, responnya kurang baik beberapa kali uang hilang tidak ada kejelasan pasti.",1,2026-02-25 21:10:48,0,Negatif,adu responnya uang hilang jelas
64565da6-cc3a-4e66-b465-9e7d2ef13283,Juhri,bangus,5,2026-02-25 21:10:30,0,Positif,bangus
7cfb3454-5bd2-4618-8702-39807601aaf3,Evi Pin,Trims kasih banyak🙏,5,2026-02-25 21:09:03,0,Positif,trims kasih
be6dbd56-886b-41ed-ae1a-b4aad840119c,Nandar Azmi,dana kenapa hari ini saya engga bisa login?,1,2026-02-25 21:08:49,0,Negatif,dana engga login
fdd43c91-1983-42ca-9355-45cc4af520af,Hendi Sucipto,sangat membantu kita,5,2026-02-25 21:08:29,0,Positif,bantu
a18cf3ba-e518-446e-916f-c296ef1b057e,Cooki Blizzar,TF dilakukan mudah dan cepat diterima,4,2026-02-25 21:08:18,0,Positif,tf mudah cepat terima
f4c36725-7568-4f3a-9467-b1cb4d651260,Fauzi Aulia Rachman,Dana cicil saya ada tapi kenapa tidak bisa di aktivasi.,3,2026-02-25 21:07:00,0,Netral,dana cicil aktivasi
f20bfbb8-273e-48db-8dcc-4e5a46221840,Let's go adventure 2025,oksih,5,2026-02-25 21:06:37,0,Positif,oksih
49706342-be6b-4696-8bbc-989cf64899c8,Muhamad Arifin,sangat bagus,5,2026-02-25 21:05:54,0,Positif,bagus
78a999d4-a436-4145-84c4-9679d4f26bb4,Samsoe Revil,terimakasih memudahkan dalam transaksi uang,4,2026-02-25 21:05:42,0,Positif,terimakasih mudah transaksi uang
cefd1096-b6b5-47ed-a73d-e47c65a00b65,Fajar Sidik,oke bagus. bermanfaat,5,2026-02-25 21:03:04,0,Positif,oke bagus manfaat
50fd8b0d-9f49-4bc3-8a4b-fc203a71a2a2,Riski Sukma Wijaya Ya,sangat puas,5,2026-02-25 21:00:52,0,Positif,puas
67245069-02d3-44a1-8129-84c56ba041c6,Aris Wanto,"ini gimna ko misi koin nya ga bisa di ambil malah ada tulisan "" error system "" gitu sih?!",2,2026-02-25 21:00:42,0,Negatif,gimna ko misi koin ambil tulis error system gitu sih
bd11e61c-bdf6-4631-9b7c-18302a98a8dc,Siti Hidayah,"dah lama pake aplikasi dana,bahkan dah premium,bgus banget ga ada fitur payleter,dana cicil dana darurrat,payah ne aplikasi ga guna",1,2026-02-25 20:59:40,0,Negatif,dah pake aplikasi dana dah premium bgus fitur payleter dana cicil dana darurrat payah ne aplikasi
11b6061e-4413-4bed-96e4-84f1511fe1dc,Zio Zio,aplikasi sampah udh premium verifikasi wajah udah bner pasword bner tetep login gabisa bagusan aplikasi sebelah orang lagi butuh mau narik di buat susah,1,2026-02-25 20:59:34,0,Negatif,aplikasi sampah premium verifikasi wajah bner pasword bner tetep login gabisa bagus aplikasi belah butuh narik susah
03e393fb-b867-43d7-a0ca-670a09408173,Hamad azka,udah lama pakai qris dana..sangat membantu...tapi dari kemarin tidak bisa di tarik masih di proses..coba komplain diana pas apload photonya gagal terus..mana saldonya lumayan besar..,5,2026-02-25 20:59:06,0,Positif,pakai qris dana bantu kemarin tarik proses coba komplain ana pas apload photonya gagal saldo lumayan
90529518-b13d-4a07-ad52-682ed535eeda,Hito Ardiyanto,aplikasi dana mantap 👍,5,2026-02-25 20:59:04,0,Positif,aplikasi dana mantap
1400bb3a-1ca7-4813-ae95-b1d4a56f5633,Ekobudi Sasmono,mna ko ha ada muncul fitur dana cicil nya katanya prioritas utama udh 2 bln msih blum ada juga fitur nya,5,2026-02-25 20:58:47,0,Positif,mna ko ha muncul fitur dana cicil prioritas utama bln msih fitur
8c5982a0-b73b-4ba7-ae46-f2b9e4d1cf5f,Hendi Ali Santo,udh hubungi Diana berkali kali sampai sekarang dana premium GK ada dana cicil nya mungkin disuruh 4 tahun lgi baru ada dana cicilnya,1,2026-02-25 20:57:18,0,Negatif,hubung ana kali dana premium dana cicil suruh tahun lgi dana cicil
4de1101f-1f10-4032-9b8b-e2c7ebfc8658,321 Rizal,kenapa ya sekarang ada potongan dana kalo abis top up,4,2026-02-25 20:56:47,0,Positif,potong dana habis top up
854e435b-0e33-4482-9d22-427a759bdcf2,Kaysa Sakho,sangat membantu,5,2026-02-25 20:55:46,0,Positif,bantu
cc706a3d-615a-4146-8729-b7e938a9ed89,Muhamad Hafiz,mantap,5,2026-02-25 20:54:33,0,Positif,mantap
2e8c2a38-4b41-49fe-baa7-36d178af7e64,Aan Ruslan,ok,5,2026-02-25 20:53:37,0,Positif,ok
cecfaf6c-15a3-460c-9728-76e1b2074ffa,Bambang Sutrisno,mantap,5,2026-02-25 20:53:08,0,Positif,mantap
050bc6b2-c3c4-43a2-b58b-db8797e7071f,Tjia Yudi,Mantap,5,2026-02-25 20:53:03,0,Positif,mantap
07b3c2e6-a5df-4678-ba50-42e83f86a4f5,Zakaria Zakaria,sdh instal tapi tidak tersimpan di layar HP,5,2026-02-25 20:50:29,1,Positif,instal simpan layar hp
2183e78c-2f60-429d-9abc-36f91ecf0eaa,kath sitorus,mantap betul,5,2026-02-25 20:48:52,0,Positif,mantap
d425e6f9-1e43-4bf7-9e9b-72d22c1777d4,Inji Baghi,good,5,2026-02-25 20:48:02,0,Positif,good
9601716c-d4c4-45ad-8136-22152bbc3df5,Ngik Ngik,applikasi tida jelas di adakaan dana cicil tapi tida bisa di gunakan,1,2026-02-25 20:47:33,0,Negatif,applikasi tida adakaan dana cicil tida
f74f707a-d606-420b-9a33-a75c8bd85787,TIM MISTERI MALAM,oke... tapi kasih 4 dulu ya..😊😊😊 soal nya masih nunggu kantor dana terdekat di kampung saya di bangun.. jadi kalau semisalnya tiba² ngilang kayak si doi bisa saya samperin..🤭🤭🤭,4,2026-02-25 20:47:04,0,Positif,oke kasih nunggu kantor dana dekat kampung bangun ngilang kayak si doi samperin
b291ad96-17bf-4ca7-a208-885f33674e4f,Taufik Rm,praktis dan mudah,5,2026-02-25 20:46:12,0,Positif,praktis mudah
5023a56e-48e8-432f-ae44-b810fb98dc67,Donquixote Ferdi,mantap ey,5,2026-02-25 20:45:00,0,Positif,mantap ey
8ce7beaf-b550-40fd-8d74-8b4a5c72bf78,Syahrir Daenk,mantap,5,2026-02-25 20:43:29,0,Positif,mantap
85872ecd-ac25-4920-8771-ba401db747cb,Ilham Ganteng,aplikasi yang bermanfaat untuk menyimpan uwang,5,2026-02-25 20:41:01,0,Positif,aplikasi manfaat simpan uwang
fb36b66f-6fbb-4f20-92f3-e37c133055ca,Lisa rafika,ok bgt,5,2026-02-25 20:40:11,0,Positif,ok
a7815eb9-6dca-4d56-bb45-3eb99f4cbe96,Yasin Doank,ok,5,2026-02-25 20:39:31,0,Positif,ok
c72c6f46-445e-478f-8572-a2642997d11d,Asmi Rani,Alhamdulillah aplikasi bagus🙂,5,2026-02-25 20:38:00,0,Positif,alhamdulillah aplikasi bagus
d3b354f1-230a-4c05-9d51-3dd9dac07f97,rizky jp,paket data disini cukup mahal²2x lipat hatganya,1,2026-02-25 20:37:59,0,Negatif,paket data mahalx lipat hatganya
e866e116-4083-401f-b3fd-2a1b850e1592,Herli Anto,mantap,4,2026-02-25 20:37:54,0,Positif,mantap
c55d5946-cec7-4d8d-af8e-2de8e2f66b21,Nilam Nur jamilah,dana saya kenapa ke potong,5,2026-02-25 20:35:58,0,Positif,dana potong
78d25b61-2ef8-4168-9a63-c8ecc8943383,Nur Wahyudi,sippp,5,2026-02-25 20:33:53,0,Positif,sippp
dcc5dfda-7f1e-4bd5-975c-3328c48d90ac,Alkhafi Khafi,beatifull,5,2026-02-25 20:33:42,0,Positif,beatifull
2b024ad0-2834-42e6-bcaf-de1f67146fcd,Umy Umay,Alhamdulillah lancar setiap transaksi,5,2026-02-25 20:33:36,0,Positif,alhamdulillah lancar transaksi
19930085-fea4-40b7-9cae-88fcf80cbcc2,Impen,sangat membantu,5,2026-02-25 20:32:51,0,Positif,bantu
59513285-fe90-4657-8f75-727911c9c008,Buana Vitha,mntap,5,2026-02-25 20:31:45,0,Positif,mntap
71b831a8-5cdf-4767-ba31-3fcccdf65f26,Polos Los,fitur aplikasi yg sangat membantu bagus banget,5,2026-02-25 20:30:51,0,Positif,fitur aplikasi bantu bagus
fa2af5ab-07db-4e10-92f5-4f6fa18a3cfa,man,nice apk dahh,5,2026-02-25 20:30:25,0,Positif,nice apk dahh
f6513b59-2d7e-4b44-9785-f1e0f0c8a8f4,Ade Ozil,terbaik,5,2026-02-25 20:29:15,0,Positif,baik
2d89be4a-89b8-455d-8b48-44b1046b2dc8,Ryan Lampung,"PEMBAHARUAN MULU, APA SICH YANG BARU, ITU"" AJA. hadeh payah ni aplikasi DANA, masih 1 Minggu udah minta pembaharuan Mulu",2,2026-02-25 20:29:11,0,Negatif,baharu mulu sich hadeh payah ni aplikasi dana minggu baharu mulu
52543cd5-b6e3-4298-be11-8d79f8c5f568,Zai Firoh,alham dulillah,5,2026-02-25 20:28:23,0,Positif,alham dulillah
3bb56bd5-35ec-4ad0-96d8-4f8581bc01ba,JeprheyARS Channel,membantu bner,5,2026-02-25 20:26:31,0,Positif,bantu bner
d7399f6c-c7ea-4498-b024-d2cac376ab05,Frenky Putra,bagus,5,2026-02-25 20:26:21,0,Positif,bagus
a5d31510-11fb-44a4-b85a-8b51b2d42e8d,Andi Strack,kadang2 eror,4,2026-02-25 20:25:42,0,Positif,kadang eror
dfc7ebba-7e40-4f5a-bbb0-ebef476388d2,Aden Nina,sangatbantu,5,2026-02-25 20:23:42,0,Positif,sangatbantu
25af4787-3a54-4311-9e8e-1a084008514d,Ako Cay,sangat membantu,5,2026-02-25 20:23:30,0,Positif,bantu
3b8432f5-4f0a-4a67-9de3-73836e64bf62,Ponari Wahyu,bagus banget apk nya,5,2026-02-25 20:22:44,0,Positif,bagus apk
52b81290-1726-44a3-8a35-762db251c667,Agus Zain,mantap,5,2026-02-25 20:19:21,0,Positif,mantap
8e9e6f6e-e548-48b7-a40f-7ea16a69a45b,Rohim Begok,sangat membantu,5,2026-02-25 20:18:34,0,Positif,bantu
ee37e392-a7a1-4618-8a81-d86f86410282,Riski Peih,ok,5,2026-02-25 20:18:32,0,Positif,ok
cf14948e-79c9-4999-83a6-ca12803e9274,Muhammad Bagas,bagus mantap,5,2026-02-25 20:18:26,0,Positif,bagus mantap
0ff41e7b-27eb-4037-a515-34f124ae1620,Fahrulfatar Auliafahrulrozi,mantaap,5,2026-02-25 20:17:38,0,Positif,mantaap
b47222d8-d66c-4bac-bd9a-eac0ba8a412f,alvariya ni,kenapa tidak bisa transaksi? apa dana saya diretas?,3,2026-02-25 20:15:57,0,Netral,transaksi dana retas
146d8358-73b7-4298-86e9-e9d03f8fe06a,Budi Rafif,sangat muda untuk pembayaran ap saja GK ad ribet dan cepat pengiriman nya aman semoga tak ad kendala selama,5,2026-02-25 20:14:56,0,Positif,muda bayar ap ad ribet cepat kirim aman moga ad kendala
2dc52337-4dba-4f8a-90c9-461c131328c7,Ujang Susanto,sangat membantu,5,2026-02-25 20:14:18,0,Positif,bantu
695ce462-5674-4326-96af-4382600a45bc,Waskitho,"simpel dan akurat ,terima kasih",4,2026-02-25 20:14:06,0,Positif,simpel akurat terima kasih
bffd5a28-c8c7-4fb5-b0b5-fbd1de9f3f10,Tahu Bulat,Ngajuin Qris Lama Banget Prosesnya Ampe 3 Hari.Begitu Muncul QRIS nya Gak Bisa Di Download.Tapi Bisa Digunakan.Dan Mesti Nunggu Lagi 3 Hari Buat Bisa Didownload QRIS nya.Eh Begitu Digunakan Transaksi Ternyata Proses Penarikannya Harus Nunggu 24 Jam Lama Bener Apalagi Kita Yang Jualan Dengan Modal Terbatas Jadi Bingung Buat Muterin Uangnya Lagi Karna Tertahan.Masih Kalah Jauh Sama qris Sebelah Yang Bisa Tarik QRIS Kapan Saja.Semoga Kedepannya Dana Bisa Lebih Baik Lagi Kedepannya Bisa Support UKM,2,2026-02-25 20:13:27,0,Negatif,ngajuin qris proses ampe muncul qris download mesti nunggu didownload qris eh transaksi proses tari nunggu jam bener jual modal batas bingung muterin uang tahan kalah qris belah tarik qris moga depan dana depan support ukm
104c65a7-7817-418a-8ad0-be96e9d33441,Rudi Irawan,bagus,5,2026-02-25 20:13:03,0,Positif,bagus
